question,answer,text
What does Harry do when he grows up?,He works as an Auror for the Ministry of Magic.,<s>[INST] What does Harry do when he grows up? [/INST] He works as an Auror for the Ministry of Magic. </s>
Which is the exciting moment in the book that is cut out of the movie?,Gryffindor winning the Quidditch Cup,<s>[INST] Which is the exciting moment in the book that is cut out of the movie? [/INST] Gryffindor winning the Quidditch Cup </s>
Which Wizarding World publication contains series about the Crumple-Horned Snorkack?,The Quibbler,<s>[INST] Which Wizarding World publication contains series about the Crumple-Horned Snorkack? [/INST] The Quibbler </s>
Harry is known for his talents in Quidditch. What is the max speed for a Firebolt broomstick?,150 mph.,<s>[INST] Harry is known for his talents in Quidditch. What is the max speed for a Firebolt broomstick? [/INST] 150 mph. </s>
Why does Neville Longbottom faint in Herbology class?,"His earmuffs were loose, so he heard the cry of the baby mandrake.","<s>[INST] Why does Neville Longbottom faint in Herbology class? [/INST] His earmuffs were loose, so he heard the cry of the baby mandrake. </s>"
Where’s Peeves favorite place to swim?,Boys’ ground floor toilets,<s>[INST] Where’s Peeves favorite place to swim? [/INST] Boys’ ground floor toilets </s>
What does the reductor curse do?,Blasts objects into pieces.,<s>[INST] What does the reductor curse do? [/INST] Blasts objects into pieces. </s>
Can the Extinguishing Charm be used to put out dragon fire?,"Yes, it can.","<s>[INST] Can the Extinguishing Charm be used to put out dragon fire? [/INST] Yes, it can. </s>"
In which of these scenarios would you use Cistem Aperio?,Blasting Open a Locked Trunk,<s>[INST] In which of these scenarios would you use Cistem Aperio? [/INST] Blasting Open a Locked Trunk </s>
What does 'Avis' conjure?,Birds,<s>[INST] What does 'Avis' conjure? [/INST] Birds </s>
The Broom Casting technique enables one to do what while flying?,Cast spells.,<s>[INST] The Broom Casting technique enables one to do what while flying? [/INST] Cast spells. </s>
"What does Glumbubles treacle induce, if ingested?",Melancholy.,"<s>[INST] What does Glumbubles treacle induce, if ingested? [/INST] Melancholy. </s>"
Who is the second Peverell brother?,Cadmus Peverell,<s>[INST] Who is the second Peverell brother? [/INST] Cadmus Peverell </s>
Which Quidditch players fend off the Bludgers?,The Beaters,<s>[INST] Which Quidditch players fend off the Bludgers? [/INST] The Beaters </s>
Who wrote A History of Magic?,Bathilda Bagshot,<s>[INST] Who wrote A History of Magic? [/INST] Bathilda Bagshot </s>
What is Gilderoy Lockhart’s autobiography called?,Magical Me,<s>[INST] What is Gilderoy Lockhart’s autobiography called? [/INST] Magical Me </s>
What animal did Ginny joke that Ron had tattooed on his body?,Pygmy Puff,<s>[INST] What animal did Ginny joke that Ron had tattooed on his body? [/INST] Pygmy Puff </s>
Who is the author of 'Curses and Counter-Curses'?,Vindictus Viridian,<s>[INST] Who is the author of 'Curses and Counter-Curses'? [/INST] Vindictus Viridian </s>
How many players are on a Quidditch team?,Seven,<s>[INST] How many players are on a Quidditch team? [/INST] Seven </s>
What is Parvati Patil’s Boggart in the book and the movie?,"In the book, a mummy; in the movie, a giant cobra","<s>[INST] What is Parvati Patil’s Boggart in the book and the movie? [/INST] In the book, a mummy; in the movie, a giant cobra </s>"
Which Ministry of Magic department regulates Quidditch?,Magical Games and Sports,<s>[INST] Which Ministry of Magic department regulates Quidditch? [/INST] Magical Games and Sports </s>
What ghost does Peeve fear?,Bloody Baron,<s>[INST] What ghost does Peeve fear? [/INST] Bloody Baron </s>
Where do vanished items go?,Into non-being,<s>[INST] Where do vanished items go? [/INST] Into non-being </s>
Who wrote the Dream Oracle?,Inigo Imago,<s>[INST] Who wrote the Dream Oracle? [/INST] Inigo Imago </s>
What is the side effect of Pepperup Potion?,Steam Coming from the Ears,<s>[INST] What is the side effect of Pepperup Potion? [/INST] Steam Coming from the Ears </s>
Which best describes the effects of a Switching Spell?,Switching Two Targets Simultaneously,<s>[INST] Which best describes the effects of a Switching Spell? [/INST] Switching Two Targets Simultaneously </s>
Which potions does not contain Valerian Sprigs?,Polyjuice Potion.,<s>[INST] Which potions does not contain Valerian Sprigs? [/INST] Polyjuice Potion. </s>
What property do you have to account for in Transfiguration?,Target's weight.,<s>[INST] What property do you have to account for in Transfiguration? [/INST] Target's weight. </s>
Which sweet-smelling plant changes its scent?,Flutterby Bush,<s>[INST] Which sweet-smelling plant changes its scent? [/INST] Flutterby Bush </s>
Which Quidditch ball is the biggest?,Quaffle,<s>[INST] Which Quidditch ball is the biggest? [/INST] Quaffle </s>
"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy.,"<s>[INST] In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal? [/INST] Troy. </s>"
How many points is a goal worth?,Ten,<s>[INST] How many points is a goal worth? [/INST] Ten </s>
I bet you don't know how many wizards serve on the Wizengamot!,50,<s>[INST] I bet you don't know how many wizards serve on the Wizengamot! [/INST] 50 </s>
What does the incantation 'Incarcerous' conjure?,Binding ropes,<s>[INST] What does the incantation 'Incarcerous' conjure? [/INST] Binding ropes </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
How is Quodpot different from Quidditch?,The ball explodes,<s>[INST] How is Quodpot different from Quidditch? [/INST] The ball explodes </s>
"In The Sorcerer’s Stone, Harry and his friends are awarded last-minute House Points, putting Gryffindor ahead of Slytherin by just 10 points. What was the final tally?",482 to 472.,"<s>[INST] In The Sorcerer’s Stone, Harry and his friends are awarded last-minute House Points, putting Gryffindor ahead of Slytherin by just 10 points. What was the final tally? [/INST] 482 to 472. </s>"
In what potion is the Sneezewort featured?,Befuddlement Draught.,<s>[INST] In what potion is the Sneezewort featured? [/INST] Befuddlement Draught. </s>
What followed the Soap Blizzard of 1378?,Wizarding Economic Bubble Burst,<s>[INST] What followed the Soap Blizzard of 1378? [/INST] Wizarding Economic Bubble Burst </s>
Which incantation changes a person's hair color?,Crinus Muto,<s>[INST] Which incantation changes a person's hair color? [/INST] Crinus Muto </s>
What animal did Neville Longbottom lose on the Hogwarts Express?,Toad,<s>[INST] What animal did Neville Longbottom lose on the Hogwarts Express? [/INST] Toad </s>
What colour does the presence of a ghost turn flames?,Blue,<s>[INST] What colour does the presence of a ghost turn flames? [/INST] Blue </s>
This one's a piece of cake. Name a magical plant whose roots can be used in many potions.,Valerian,<s>[INST] This one's a piece of cake. Name a magical plant whose roots can be used in many potions. [/INST] Valerian </s>
How does Dumbledore escape from his office when the Ministry of Magic comes to take him to Azkaban?,"He grabs Fawkes’s tail, and they disappear in a flash of fire.","<s>[INST] How does Dumbledore escape from his office when the Ministry of Magic comes to take him to Azkaban? [/INST] He grabs Fawkes’s tail, and they disappear in a flash of fire. </s>"
Quidditch players are constantly at risk of injury throughout the game. How many possible Quidditch fouls are there?,700.,<s>[INST] Quidditch players are constantly at risk of injury throughout the game. How many possible Quidditch fouls are there? [/INST] 700. </s>
"What was the name of the house where the Weasleys once lived, which became a second home to Harry Potter?",The Burrow,"<s>[INST] What was the name of the house where the Weasleys once lived, which became a second home to Harry Potter? [/INST] The Burrow </s>"
What did Harry do to get him temporarily expelled from Hogwarts?,He chases away dementors,<s>[INST] What did Harry do to get him temporarily expelled from Hogwarts? [/INST] He chases away dementors </s>
What is the Fwooper plumage used as?,A quill,<s>[INST] What is the Fwooper plumage used as? [/INST] A quill </s>
In what year was the book Harry Potter and the Sorcerer’s Stone released in the United States?,1998,<s>[INST] In what year was the book Harry Potter and the Sorcerer’s Stone released in the United States? [/INST] 1998 </s>
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve,<s>[INST] What item in the Headmaster's Office allows you to review bottled memories? [/INST] The Pensieve </s>
What do Switching Spells do?,Swap Objects for Each Other,<s>[INST] What do Switching Spells do? [/INST] Swap Objects for Each Other </s>
Which finger was Peter Pettigrew missing?,Right index finger,<s>[INST] Which finger was Peter Pettigrew missing? [/INST] Right index finger </s>
Dumbledore has a scar above his left knee that is a perfect map of what?,The London Underground,<s>[INST] Dumbledore has a scar above his left knee that is a perfect map of what? [/INST] The London Underground </s>
Madam Hooch has distinct yellow what?,Eyes,<s>[INST] Madam Hooch has distinct yellow what? [/INST] Eyes </s>
What can cause a person's patronus to change?,Major life events,<s>[INST] What can cause a person's patronus to change? [/INST] Major life events </s>
What's the first step to performing a Bell Tailslide?,Flying straight up.,<s>[INST] What's the first step to performing a Bell Tailslide? [/INST] Flying straight up. </s>
What do you feed a newly-hatched dragon?,Brandy and chicken blood,<s>[INST] What do you feed a newly-hatched dragon? [/INST] Brandy and chicken blood </s>
Who wrote The Owl Airforce: True Life Tales of War in Europe?,Simon Dentata,<s>[INST] Who wrote The Owl Airforce: True Life Tales of War in Europe? [/INST] Simon Dentata </s>
How do first years get from the Hogsmeade train station to the castle?,They take boats over the lake.,<s>[INST] How do first years get from the Hogsmeade train station to the castle? [/INST] They take boats over the lake. </s>
What are switching spells?,Simultaneous Transfigurations,<s>[INST] What are switching spells? [/INST] Simultaneous Transfigurations </s>
What was the name of the Quidditch team on the sock Mrs. Weasley tries to give to Harry?,Puddlemere United,<s>[INST] What was the name of the Quidditch team on the sock Mrs. Weasley tries to give to Harry? [/INST] Puddlemere United </s>
This one is a doozy. Name every ingredient contained in Polyjuice Potion. (Hint: There are seven.),"Lacewing flies, leeches, powdered Bicorn horn, knotgrass, fluxweed, shredded Boomslang skin, and a bit of the person you want to turn into.","<s>[INST] This one is a doozy. Name every ingredient contained in Polyjuice Potion. (Hint: There are seven.) [/INST] Lacewing flies, leeches, powdered Bicorn horn, knotgrass, fluxweed, shredded Boomslang skin, and a bit of the person you want to turn into. </s>"
On which day do some staircases in Hogwarts Castle lead to somewhere different?,Friday,<s>[INST] On which day do some staircases in Hogwarts Castle lead to somewhere different? [/INST] Friday </s>
Touching the trunk of a Wiggentree protects you from what?,Dark Creatures,<s>[INST] Touching the trunk of a Wiggentree protects you from what? [/INST] Dark Creatures </s>
Myomancy involves observation of which creatures?,Mice and rats,<s>[INST] Myomancy involves observation of which creatures? [/INST] Mice and rats </s>
When was dragon-breeding outlawed?,Warlocks' Convention of 1709,<s>[INST] When was dragon-breeding outlawed? [/INST] Warlocks' Convention of 1709 </s>
What do I hate most of all?,Myths and Legends,<s>[INST] What do I hate most of all? [/INST] Myths and Legends </s>
What is the Chudley Cannons' team colour?,Orange,<s>[INST] What is the Chudley Cannons' team colour? [/INST] Orange </s>
"You may have heard that Luna Lovegood wears shoes to bed, but does anyone know the reason?",She sleepwalks,"<s>[INST] You may have heard that Luna Lovegood wears shoes to bed, but does anyone know the reason? [/INST] She sleepwalks </s>"
What's another name for Belladonna?,Deadly Nightshade,<s>[INST] What's another name for Belladonna? [/INST] Deadly Nightshade </s>
Many know that Gryffindor's ghost is Nearly Headless Nick. But what is his full name?,Sir Nicholas de Mimsy-Porpington.,<s>[INST] Many know that Gryffindor's ghost is Nearly Headless Nick. But what is his full name? [/INST] Sir Nicholas de Mimsy-Porpington. </s>
What kind of pest repellant was Hagrid looking for when saw Harry in Knockturn Alley?,Flesh-Eating Slugs,<s>[INST] What kind of pest repellant was Hagrid looking for when saw Harry in Knockturn Alley? [/INST] Flesh-Eating Slugs </s>
Which of these is needed for successful broom casting?,Balance,<s>[INST] Which of these is needed for successful broom casting? [/INST] Balance </s>
How many students sleep in each Hogwarts dormitory?,5,<s>[INST] How many students sleep in each Hogwarts dormitory? [/INST] 5 </s>
What is the incantation for the tongue-tying curse?,Mimblewimble.,<s>[INST] What is the incantation for the tongue-tying curse? [/INST] Mimblewimble. </s>
Who slayed Bellatrix Lestrange?,Molly Weasley,<s>[INST] Who slayed Bellatrix Lestrange? [/INST] Molly Weasley </s>
"In the book version of Harry Potter and the Half-Blood Prince, who finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak?",Tonks,"<s>[INST] In the book version of Harry Potter and the Half-Blood Prince, who finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak? [/INST] Tonks </s>"
What were the wizards who cooperated with the Muggles called?,Scourers.,<s>[INST] What were the wizards who cooperated with the Muggles called? [/INST] Scourers. </s>
Which room did the members of Dumbledore's Army use as a hideout?,The Room of Requirement,<s>[INST] Which room did the members of Dumbledore's Army use as a hideout? [/INST] The Room of Requirement </s>
When was Quidditch invented?,1050 AD,<s>[INST] When was Quidditch invented? [/INST] 1050 AD </s>
What spellbook contains the Leg-Locker Curse?,Curses and Counter-Curses,<s>[INST] What spellbook contains the Leg-Locker Curse? [/INST] Curses and Counter-Curses </s>
Who is Harry's godfather?,Sirius Black,<s>[INST] Who is Harry's godfather? [/INST] Sirius Black </s>
What type of ball attempts to hit players?,Bludger,<s>[INST] What type of ball attempts to hit players? [/INST] Bludger </s>
What does Ginny say Ron has a tattoo of?,A Pygmy Puff,<s>[INST] What does Ginny say Ron has a tattoo of? [/INST] A Pygmy Puff </s>
What form does Snape's patronus take?,Doe,<s>[INST] What form does Snape's patronus take? [/INST] Doe </s>
What's the name of the joke shop in Hogsmeade?,Zonko's,<s>[INST] What's the name of the joke shop in Hogsmeade? [/INST] Zonko's </s>
What subject foes Headmistress McGonagall teach?,Transfiguration,<s>[INST] What subject foes Headmistress McGonagall teach? [/INST] Transfiguration </s>
"What is the name of the Hogwarts house known for its ambition, cunning, and resourcefulness?",Slytherin,"<s>[INST] What is the name of the Hogwarts house known for its ambition, cunning, and resourcefulness? [/INST] Slytherin </s>"
What year do Hogwarts students take O.W.L.s?,Fifth year,<s>[INST] What year do Hogwarts students take O.W.L.s? [/INST] Fifth year </s>
How many points is a goal worth?,Ten,<s>[INST] How many points is a goal worth? [/INST] Ten </s>
What family does Winky the house-elf belong to before working at Hogwarts?,The Crouch family,<s>[INST] What family does Winky the house-elf belong to before working at Hogwarts? [/INST] The Crouch family </s>
What non-human species practices Divination?,Centaurs,<s>[INST] What non-human species practices Divination? [/INST] Centaurs </s>
What differentiates Knarls from hedgehogs?,Their suspicious nature,<s>[INST] What differentiates Knarls from hedgehogs? [/INST] Their suspicious nature </s>
Which Ghost haunts the Girls' Bathroom at Hogwarts?,"""Moaning"" Myrtle Warren","<s>[INST] Which Ghost haunts the Girls' Bathroom at Hogwarts? [/INST] ""Moaning"" Myrtle Warren </s>"
Where are flying lessons held?,Training Grounds,<s>[INST] Where are flying lessons held? [/INST] Training Grounds </s>
"Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Gregory Goyle?",Lavender Brown,"<s>[INST] Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Gregory Goyle? [/INST] Lavender Brown </s>"
What are Nettles known for?,Stinging Hairs,<s>[INST] What are Nettles known for? [/INST] Stinging Hairs </s>
What does Harry do to impress Professor McGonagall enough that she gets him on the Gryffindor Quidditch team?,Catches Neville Longbottom’s Remembrall,<s>[INST] What does Harry do to impress Professor McGonagall enough that she gets him on the Gryffindor Quidditch team? [/INST] Catches Neville Longbottom’s Remembrall </s>
Who is Harry Potter's godfather?,Sirius Black,<s>[INST] Who is Harry Potter's godfather? [/INST] Sirius Black </s>
What is the effect of Wideye Potion?,Keeps you awake,<s>[INST] What is the effect of Wideye Potion? [/INST] Keeps you awake </s>
When did Godric's fellow founders and Godric found Hogwarts?,10th Century,<s>[INST] When did Godric's fellow founders and Godric found Hogwarts? [/INST] 10th Century </s>
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,<s>[INST] Where is the British and Irish Quidditch League Headquarters located? [/INST] The Ministry of Magic </s>
What class does Professor Vector teach?,Arithmancy,<s>[INST] What class does Professor Vector teach? [/INST] Arithmancy </s>
Remus Lupin was known to his friends by what nickname?,Moony,<s>[INST] Remus Lupin was known to his friends by what nickname? [/INST] Moony </s>
What is the best way to extract juice from the Sopophorous Bean?,Crush it,<s>[INST] What is the best way to extract juice from the Sopophorous Bean? [/INST] Crush it </s>
What do aurors do?,Catch dark wizards.,<s>[INST] What do aurors do? [/INST] Catch dark wizards. </s>
What is the name of the magical map that shows the entire layout of Hogwarts?,Marauder's Map,<s>[INST] What is the name of the magical map that shows the entire layout of Hogwarts? [/INST] Marauder's Map </s>
Which clause in the Code of Wand Use prohibits non-humans from using wands?,Clause Three,<s>[INST] Which clause in the Code of Wand Use prohibits non-humans from using wands? [/INST] Clause Three </s>
Which of the following reptile's blood is used for Wiggenweld Potion?,Salamander,<s>[INST] Which of the following reptile's blood is used for Wiggenweld Potion? [/INST] Salamander </s>
Who is the Charms professor?,Professor Flitwick,<s>[INST] Who is the Charms professor? [/INST] Professor Flitwick </s>
Which trait did Helga Hufflepuff value the most?,Loyalty,<s>[INST] Which trait did Helga Hufflepuff value the most? [/INST] Loyalty </s>
The Vermillious charm produces what colour sparks?,Red,<s>[INST] The Vermillious charm produces what colour sparks? [/INST] Red </s>
Where is the best place to buy flesh-eating slug repellent?,Diagon Alley,<s>[INST] Where is the best place to buy flesh-eating slug repellent? [/INST] Diagon Alley </s>
Who is the conductor of the Frog Choir?,Filius Flitwick,<s>[INST] Who is the conductor of the Frog Choir? [/INST] Filius Flitwick </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
Porlocks guard herds of what non-magical creatures?,Horses,<s>[INST] Porlocks guard herds of what non-magical creatures? [/INST] Horses </s>
What is the primary use of the charm Scourgify?,Cleaning,<s>[INST] What is the primary use of the charm Scourgify? [/INST] Cleaning </s>
What's the most unfun job at Hogwarts?,Caretaker,<s>[INST] What's the most unfun job at Hogwarts? [/INST] Caretaker </s>
What is the primary use of Murtlap essence?,Soothing wounds,<s>[INST] What is the primary use of Murtlap essence? [/INST] Soothing wounds </s>
Which species commandeered the Giant Wars?,Giants,<s>[INST] Which species commandeered the Giant Wars? [/INST] Giants </s>
What plant helps you breathe underwater?,Gillyweed,<s>[INST] What plant helps you breathe underwater? [/INST] Gillyweed </s>
Who previously held Snape's post?,Horace Slughorn,<s>[INST] Who previously held Snape's post? [/INST] Horace Slughorn </s>
Which sub-branch of Transfiguration is considered to be the most difficult?,Human Transfiguration,<s>[INST] Which sub-branch of Transfiguration is considered to be the most difficult? [/INST] Human Transfiguration </s>
Who's the best person to tease?,Argus Filch,<s>[INST] Who's the best person to tease? [/INST] Argus Filch </s>
What creature was the Golden Snitch invented to replace?,Golden Snidget,<s>[INST] What creature was the Golden Snitch invented to replace? [/INST] Golden Snidget </s>
Who was the first witch or wizard to hatch a basilisk?,Herpo the Foul,<s>[INST] Who was the first witch or wizard to hatch a basilisk? [/INST] Herpo the Foul </s>
"What kind of creature is Newt's companion, Pickett?",Bowtruckle,"<s>[INST] What kind of creature is Newt's companion, Pickett? [/INST] Bowtruckle </s>"
How old are students when they first attend Hogwarts?,11-years-old,<s>[INST] How old are students when they first attend Hogwarts? [/INST] 11-years-old </s>
What is the incantation for the Shield Charm?,Protego,<s>[INST] What is the incantation for the Shield Charm? [/INST] Protego </s>
Where did Emeric the Evil spend most of his life?,England,<s>[INST] Where did Emeric the Evil spend most of his life? [/INST] England </s>
Which Quidditch team only has female players?,Holyhead Harpies,<s>[INST] Which Quidditch team only has female players? [/INST] Holyhead Harpies </s>
What magical creature runs guards wand wood trees?,Bowtruckles,<s>[INST] What magical creature runs guards wand wood trees? [/INST] Bowtruckles </s>
Where could you buy broomsticks?,Quality Quidditch Supplies,<s>[INST] Where could you buy broomsticks? [/INST] Quality Quidditch Supplies </s>
The Pack Charm is what type of charm?,Household Charm,<s>[INST] The Pack Charm is what type of charm? [/INST] Household Charm </s>
Which incantation can levitate an object?,Wingardium Leviosa,<s>[INST] Which incantation can levitate an object? [/INST] Wingardium Leviosa </s>
Who killed Sirius Black?,Bellatrix Lestrange,<s>[INST] Who killed Sirius Black? [/INST] Bellatrix Lestrange </s>
How many points is a goal worth?,Ten,<s>[INST] How many points is a goal worth? [/INST] Ten </s>
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,<s>[INST] Where is the British and Irish Quidditch League Headquarters located? [/INST] The Ministry of Magic </s>
Where did Dumbledore and Grindelwald make the Blood Pact?,Barn,<s>[INST] Where did Dumbledore and Grindelwald make the Blood Pact? [/INST] Barn </s>
Which team is in last place?,Chudley Cannons,<s>[INST] Which team is in last place? [/INST] Chudley Cannons </s>
Which is not a form of dance?,Staccato,<s>[INST] Which is not a form of dance? [/INST] Staccato </s>
What does the Draught Charm cause?,Dryness,<s>[INST] What does the Draught Charm cause? [/INST] Dryness </s>
Which of the following is NOT another name for Belladonna?,Flitterbloom,<s>[INST] Which of the following is NOT another name for Belladonna? [/INST] Flitterbloom </s>
What replaced the Wizards' Council?,The Ministry of Magic.,<s>[INST] What replaced the Wizards' Council? [/INST] The Ministry of Magic. </s>
Which skill is most useful for surfing loops?,Balance.,<s>[INST] Which skill is most useful for surfing loops? [/INST] Balance. </s>
What potion is used to rid yourself of Doxies?,Doxycide,<s>[INST] What potion is used to rid yourself of Doxies? [/INST] Doxycide </s>
What makes magical photographs move?,Developing solution,<s>[INST] What makes magical photographs move? [/INST] Developing solution </s>
Who was the Journalist at The Daily Prophet in the Harry Potter series?,Rita Skeeter,<s>[INST] Who was the Journalist at The Daily Prophet in the Harry Potter series? [/INST] Rita Skeeter </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
Who was Harry Potter's godfather?,Sirius Black,<s>[INST] Who was Harry Potter's godfather? [/INST] Sirius Black </s>
Which of these is not a species of dragon?,Finnish Flamethrower,<s>[INST] Which of these is not a species of dragon? [/INST] Finnish Flamethrower </s>
What makes a transformation easier?,Similarity in appearance,<s>[INST] What makes a transformation easier? [/INST] Similarity in appearance </s>
What spell unmasked Gellert Grindelwald in 1926?,Revelio,<s>[INST] What spell unmasked Gellert Grindelwald in 1926? [/INST] Revelio </s>
Which team is in last place?,Chudley Cannons,<s>[INST] Which team is in last place? [/INST] Chudley Cannons </s>
I bet you don't know how many wizards serve on the Wizengamot!,50,<s>[INST] I bet you don't know how many wizards serve on the Wizengamot! [/INST] 50 </s>
"Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley?",Draco Malfoy,"<s>[INST] Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley? [/INST] Draco Malfoy </s>"
What was the name of the person who was the original owner of the Elder Wand?,Antioch Peverell,<s>[INST] What was the name of the person who was the original owner of the Elder Wand? [/INST] Antioch Peverell </s>
Can Ascendio be used underwater?,"Yes, it can","<s>[INST] Can Ascendio be used underwater? [/INST] Yes, it can </s>"
"When Neville Longbottom dresses his Boggart (Professor Snape) up in his grandmother’s clothes, what stuffed bird is on top of the hat?",A vulture,"<s>[INST] When Neville Longbottom dresses his Boggart (Professor Snape) up in his grandmother’s clothes, what stuffed bird is on top of the hat? [/INST] A vulture </s>"
What is the name of Filch's cat?,Mrs. Norris,<s>[INST] What is the name of Filch's cat? [/INST] Mrs. Norris </s>
What children's book contains the story of the Deathly Hallows?,The Tales of Beedle the Bard,<s>[INST] What children's book contains the story of the Deathly Hallows? [/INST] The Tales of Beedle the Bard </s>
"In Book 7, what three Ministry of Magic employees do Ron, Harry, and Hermione impersonate?","Mafalda Hopkirk, Reginald Cattermole, and Albert Runcorn.","<s>[INST] In Book 7, what three Ministry of Magic employees do Ron, Harry, and Hermione impersonate? [/INST] Mafalda Hopkirk, Reginald Cattermole, and Albert Runcorn. </s>"
Who is Harry's first crush?,Cho Chang,<s>[INST] Who is Harry's first crush? [/INST] Cho Chang </s>
"Dittany, mixed with this ingredient, can cure a Werewolf bite.",Powdered Silver,"<s>[INST] Dittany, mixed with this ingredient, can cure a Werewolf bite. [/INST] Powdered Silver </s>"
Who left the lightning-shaped scar on Harry Potter's forehead?,Voldemort,<s>[INST] Who left the lightning-shaped scar on Harry Potter's forehead? [/INST] Voldemort </s>
Did the werewolf code of conduct work?,No,<s>[INST] Did the werewolf code of conduct work? [/INST] No </s>
What happens when you touch a Wiggentree?,Protection from Dark Creatures,<s>[INST] What happens when you touch a Wiggentree? [/INST] Protection from Dark Creatures </s>
How many students sleep in each dormitory?,5,<s>[INST] How many students sleep in each dormitory? [/INST] 5 </s>
Bowtruckles are especially fond of what tree?,Wiggentrees,<s>[INST] Bowtruckles are especially fond of what tree? [/INST] Wiggentrees </s>
Which plant's pus clears up acne?,Bubotuber,<s>[INST] Which plant's pus clears up acne? [/INST] Bubotuber </s>
What is Salazar Slytherin's signature item?,Locket,<s>[INST] What is Salazar Slytherin's signature item? [/INST] Locket </s>
Who teaches Potions class this year?,Professor Horace Slughorn,<s>[INST] Who teaches Potions class this year? [/INST] Professor Horace Slughorn </s>
This real-life library served as the restricted section of the Hogwarts library in the film version. Which is it?,The Bodleian Library at Oxford University,<s>[INST] This real-life library served as the restricted section of the Hogwarts library in the film version. Which is it? [/INST] The Bodleian Library at Oxford University </s>
Acromantula is the name for a giant version of what creature?,Spider,<s>[INST] Acromantula is the name for a giant version of what creature? [/INST] Spider </s>
What is the incantation of the scrubbing spell?,Scourgify,<s>[INST] What is the incantation of the scrubbing spell? [/INST] Scourgify </s>
"In the Chamber of Secrets, the tears of the Phoenix cured the Poison of what creature?",Basilisk,"<s>[INST] In the Chamber of Secrets, the tears of the Phoenix cured the Poison of what creature? [/INST] Basilisk </s>"
"In Book 4, what magical creature does Harry answer a riddle from in the maze during the Triwizard Tournament?",A sphinx.,"<s>[INST] In Book 4, what magical creature does Harry answer a riddle from in the maze during the Triwizard Tournament? [/INST] A sphinx. </s>"
How was Hermione able to take extra lessons?,She used a time-turner,<s>[INST] How was Hermione able to take extra lessons? [/INST] She used a time-turner </s>
Which Quidditch players score goals?,The Chasers,<s>[INST] Which Quidditch players score goals? [/INST] The Chasers </s>
What is the name of the Weasley family home?,The Burrow,<s>[INST] What is the name of the Weasley family home? [/INST] The Burrow </s>
Which of these is needed for successful broom casting?,Balance,<s>[INST] Which of these is needed for successful broom casting? [/INST] Balance </s>
How do fairies communicate?,By buzzing.,<s>[INST] How do fairies communicate? [/INST] By buzzing. </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
What school-aged peer is Harry's nemesis throughout his time at Hogwarts?,Draco Malfoy.,<s>[INST] What school-aged peer is Harry's nemesis throughout his time at Hogwarts? [/INST] Draco Malfoy. </s>
What ingredient from the Potions Storeroom did Snape ask you to retrieve in order to restore House Points?,Pickled Slugs,<s>[INST] What ingredient from the Potions Storeroom did Snape ask you to retrieve in order to restore House Points? [/INST] Pickled Slugs </s>
What does the spell Accio do?,Summons objects,<s>[INST] What does the spell Accio do? [/INST] Summons objects </s>
"Before Dumbledore, who was the Headmaster of Hogwarts?",Armando Dippet,"<s>[INST] Before Dumbledore, who was the Headmaster of Hogwarts? [/INST] Armando Dippet </s>"
"When Harry was learning the Patronus Charm, what happy memory did he initially use?",The first time he rode a broom,"<s>[INST] When Harry was learning the Patronus Charm, what happy memory did he initially use? [/INST] The first time he rode a broom </s>"
No spell yet devised allows a wizard to what?,Fly unaided,<s>[INST] No spell yet devised allows a wizard to what? [/INST] Fly unaided </s>
"In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked?",Sir Cadogan,"<s>[INST] In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked? [/INST] Sir Cadogan </s>"
Which elective is occasionally offered at Hogwarts?,Alchemy,<s>[INST] Which elective is occasionally offered at Hogwarts? [/INST] Alchemy </s>
What is Harry's middle name?,James,<s>[INST] What is Harry's middle name? [/INST] James </s>
